,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
429,CCCCCCCCS(=O)(=O)OCC,10,22,0,3,1,"222,348",,"3912,663854",,"357,32","250,124"
430,CCSC(SCC)[CH](O)[CH](O)[CH](O)[CH](C)O,10,22,0,4,2,"270,4134",,"0,018044359",,"411,94","288,358"
431,CCSC(SCC)[CH](O)[CH](O)[CH](O)[CH](O)CO,10,22,0,5,2,"286,4128",,"0,000294386",,"449,13","314,391"
432,CCSC(SCC)[CH](O)[CH](O)[CH](O)[CH](O)CO,10,22,0,5,2,"286,4128",,"0,000294386",,,
433,CCSC(SCC)[CH](O)[CH](O)[CH](O)[CH](O)CO,10,22,0,5,2,"286,4128",,"0,000294386",,,
434,CCO[CH](SCC)[CH](O)[CH](O)[CH](O)[CH](O)CO,10,22,0,6,1,"270,3462",,"0,001847632",,"436,82","305,774"
435,O=S1(=O)OC2=C3C(=CC=C2)C=CC=C13,10,6,0,3,1,"206,2216",,"94,99472175",,"399,29","279,503"
436,OS(=O)(=O)C1=CC(=O)C2=C(C=CC=C2)C1=O,10,6,0,5,1,"238,2204",,"0,003538177",,457,"319,9"
437,OS(=O)(=O)C1=CC(=O)C(=O)C2=C1C=CC=C2,10,6,0,5,1,"238,2204",,"0,003538177",,,
438,CC(=O)C1=CSC2=C1C=CC=C2,10,8,0,1,1,"176,2386",,"3727,220987",,"359,64","251,748"
439,OC1=CC(=CC2=CC(=CC(=C12)S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O,10,8,0,10,3,"384,3652",,"7,54968E-14",,"576,74","403,718"
440,OC(=O)CC1=CSC2=C1C=CC=C2,10,8,0,2,1,"192,238",,"78,82895496",,"404,75","283,325"
441,OC(=O)CC1=C2C=CSC2=CC=C1,10,8,0,2,1,"192,238",,"78,82895496",,,
442,OC(=O)C(C1=CC=CS1)C2=CC=CS2,10,8,0,2,2,"224,304",,"39,35013048",,"412,28","288,596"
443,OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1,10,8,0,3,1,"208,2374",,"0,844931763","364,15","412,33","254,905"
444,OS(=O)(=O)C1=C2C=CC=CC2=CC=C1,10,8,0,3,1,"208,2374",,"0,253255409","413,15","412,33","289,205"
