P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1214,2136.12535,1068.67446,11.111,6.756,12.962,8.824,7.956,0.111303,0.301462,0.020547,3.31717,0.132983,-1.9003,1.3387,-0.7836,2.453,-0.202214,-5.502513,-0.020756,-0.564789,0.181458,4.937723
P_1215,2209.78145,1175.16265,15.871,9.135,18.074,8.085,6.756,0.110278,0.301312,0.02018,3.318824,0.126818,-1.6886,0.6909,3.102,3.5988,-0.20838,-5.67031,-0.015251,-0.415002,0.193129,5.255309
P_1216,2144.47531,1017.59951,10.047,6.224,11.816,8.866,6.947,0.118269,0.295942,0.023632,3.379041,0.130368,0.8896,-0.3814,0.9212,1.3362,-0.204829,-5.573675,-0.029403,-0.800109,0.175425,4.773566
P_1217,2174.66015,1123.42172,11.874,7.137,14.52,9.952,7.239,0.117058,0.293413,0.02335,3.408169,0.131046,0.0596,1.849,1.3713,2.3028,-0.204151,-5.555242,-0.028393,-0.772615,0.175758,4.782627
P_1218,2224.64718,1184.66267,14.75,8.71,17.249,8.98,7.183,0.124252,0.292065,0.02643,3.4239,0.127298,1.7486,1.3297,1.3703,2.5891,-0.2079,-5.657243,-0.038082,-1.036264,0.169818,4.620979
P_1219,2344.29542,1226.37571,15.741,9.07,17.993,7.925,7.673,0.120085,0.271194,0.026587,3.687393,0.131956,-1.2561,1.7689,-0.3742,2.2016,-0.203242,-5.530505,-0.041109,-1.11862,0.162134,4.411886
P_1220,2139.88196,1146.42629,13.743,8.072,15.623,9.419,7.211,0.114623,0.312514,0.021021,3.199858,0.12358,-1.4568,1.5729,-0.3713,2.1758,-0.211617,-5.758394,-0.016427,-0.446992,0.19519,5.311401
P_1221,2248.09015,1069.51136,10.101,6.251,12.35,8.796,7.374,0.118766,0.309541,0.022784,3.230595,0.121949,1.899,-1.0958,-0.2755,2.2097,-0.213249,-5.802788,-0.02156,-0.586673,0.191689,5.216116
P_1222,2554.94171,1332.52089,15.355,8.877,17.742,9.549,8.618,0.114834,0.29563,0.022303,3.382606,0.126534,-1.3326,1.4313,-1.2553,2.3239,-0.208663,-5.678012,-0.021684,-0.590048,0.186979,5.087964
P_1223,3081.10994,1518.53074,16.492,9.446,18.858,9.398,8.616,0.1176,0.294822,0.023455,3.391875,0.124917,1.5288,-3.6992,-0.1071,4.0041,-0.210281,-5.722043,-0.027466,-0.747386,0.182815,4.974658
P_1224,2484.9051,1223.38584,11.158,6.779,13.373,10.12,8.287,0.114739,0.316494,0.020798,3.159615,0.118556,3.5789,-0.89,-0.5595,3.7301,-0.216641,-5.895104,-0.012554,-0.341625,0.204087,5.553479
P_1225,2065.07391,1110.47267,14.593,8.496,16.989,8.947,6.869,0.111299,0.309173,0.020033,3.234439,0.122611,-1.7237,0.2224,-0.9706,1.9906,-0.212586,-5.784746,-0.015021,-0.408753,0.197564,5.375993
P_1226,1281.55726,724.26511,7.854,5.127,10.242,8.369,7.14,0.127003,0.350111,0.023035,2.856238,0.10143,-1.2536,-0.6516,-1.9676,2.4223,-0.233768,-6.361159,-0.018418,-0.501169,0.215351,5.85999
P_1227,1535.84071,833.64715,9.493,5.946,11.758,7.54,7.321,0.12586,0.338023,0.023431,2.958377,0.107596,0.8706,2.223,0.8283,2.527,-0.227603,-6.19338,-0.021119,-0.574677,0.206484,5.618703
P_1228,1864.43473,1035.19495,10.987,6.694,13.183,9.214,6.566,0.121831,0.337958,0.02196,2.95895,0.106006,-1.7653,1.9959,-2.2772,3.5051,-0.229193,-6.236651,-0.016863,-0.458859,0.21233,5.777792
